Country or area,Year,Age,Any method,Modern methods
Afghanistan,2007/08,15-49,23,15
Albania,2008/09,15-49,69,10
Algeria,2006,15-49,61,52
Angola,2001,15-49,6,5
Anguilla,2003,15-45,43,41
Antigua and Barbuda,1988,15-44,53,51
Argentina,2001,15-49,65,64
Armenia,2005,15-49,53,19
Australia,2001/02,16-59,71,71
Austria,1995/96,20-49,51,47
Azerbaijan,2006,15-49,51,13
Bahamas,1988,15-44,62,60
Bahrain,1995,15-49,62,31
Bangladesh,2007,15-49,56,48
Barbados,1988,15-44,55,53
Belarus,2005/06,15-49,73,56
Belgium,2004,15-49,75,73
Belize,2006,15-49,34,31
Benin,2006,15-49,17,6
Bhutan,2007,15-49,..,35
Bolivia (Plurinational State of),2008,15-49,61,34
Bosnia and Herzegovina,2005/06,15-49,36,11
Botswana,2000,15-49,44,42
Brazil,2006,15-49,80,77
Bulgaria,1997/98,20-44,63,40
Burkina Faso,2006,15-49,17,13
Burundi,2005/06,15-49,9,8
Cambodia,2005,15-49,40,27
Cameroon,2006,15-49,29,12
Canada,2002,18-44,74,72
Cape Verde,2005,15-49,61,57
Central African Republic,2006,15-49,19,9
Chad,2004,15-49,3,2
Chile,2006,15-44,64,..
China,2006,15-49,85,84
"China, Hong Kong SAR",2007,15-49,80,75
Colombia,2004/05,15-49,78,68
Comoros,2000,15-49,26,19
Congo,2005,15-49,44,13
Cook Islands,1999,15-49,43,38
Costa Rica,1999,18-44,80,72
Côte d'Ivoire,2006,15-49,13,8
Croatia,1970,15-44,58,7
Cuba,2006,15-49,73,72
Czech Republic,1997,15-44,72,63
Democratic People's Republic of Korea,2002,15-49,69,58
Democratic Republic of the Congo,2007,15-49,21,6
Denmark,1988,15-44,78,72
Djibouti,2006,15-49,18,17
Dominica,1987,15-44,50,48
Dominican Republic,2007,15-49,73,70
Ecuador,2004,15-49,73,59
Egypt,2008,15-49,60,58
El Salvador,2008,15-44,73,66
Equatorial Guinea,2000,15-49,10,6
Eritrea,2002,15-49,8,5
Estonia,1994,20-49,70,56
Ethiopia,2005,15-49,15,14
Fiji,1974,15-49,41,35
Finland,1989,25-49,77,75
France,2004/05,15-49,77,75
Gabon,2000,15-49,33,12
Gambia,2001,15-49,18,13
Georgia,2005,15-44,47,27
Germany,1992,20-39,70,66
Ghana,2008,15-49,24,17
Greece,2001,16-45,76,46
Grenada,1990,15-44,54,52
Guadeloupe,1975/76,15-49,29,21
Guam,2002,18-44,67,58
Guatemala,2002,15-49,43,34
Guinea,2005,15-49,9,4
Guinea-Bissau,2006,15-49,10,6
Guyana,2009,15-49,43,40
Haiti,2005/06,15-49,32,24
Honduras,2005/06,15-49,65,56
Hungary,1992/93,18-41,81,71
India,2005/06,15-49,56,49
Indonesia,2007,15-49,61,57
Iran (Islamic Republic of),2002,15-49,73,59
Iraq,2006,15-49,50,33
Ireland,2004/05,18-49,65,61
Israel,1987/88,18-39,68,52
Italy,1995/96,20-49,63,41
Jamaica,2002/03,15-49,69,66
Japan,2005,20-49,54,44
Jordan,2009,15-49,59,41
Kazakhstan,2006,15-49,51,49
Kenya,2008/09,15-49,46,39
Kuwait,1999,15-49,52,39
Kyrgyzstan,2005/06,15-49,48,46
Lao People's Democratic Republic,2005,15-49,38,..
Latvia,1995,18-49,68,56
Lebanon,2004,15-49,58,34
Lesotho,2009,15-49,47,46
Liberia,2007,15-49,11,10
Libyan Arab Jamahiriya,1995,15-49,45,26
Lithuania,1994/95,18-49,51,33
Madagascar,2008/09,15-49,40,28
Malawi,2006,15-49,41,38
Malaysia,1994,15-49,55,30
Maldives,2009,15-49,35,27
Mali,2006,15-49,8,6
Malta,1993,20-45,86,46
Marshall Islands,2007,15-49,45,42
Martinique,1976,15-49,36,27
Mauritania,2007,15-49,9,8
Mauritius,2002,15-49,76,39
Mexico,2006,15-49,71,67
Mongolia,2005,15-49,66,61
Montenegro,2005/06,15-49,39,17
Montserrat,1984,15-44,53,52
Morocco,2003/04,15-49,63,52
Mozambique,2003/04,15-49,17,12
Myanmar,2007,15-49,41,38
Namibia,2006/07,15-49,55,54
Nauru,2007,15-49,36,23
Nepal,2006,15-49,48,44
Netherlands,2008,18-45,69,67
New Zealand,1995,20-49,75,72
Nicaragua,2006/07,15-49,72,69
Niger,2006,15-49,11,5
Nigeria,2008,15-49,15,8
Northern Mariana Islands,1970,15-49,21,16
Norway,2005,20-44,88,82
Occupied Palestinian Territory,2006,15-49,50,39
Oman,2000,15-49,32,25
Pakistan,2007/08,15-49,27,19
Palau,2003,15-44,33,30
Panama,1984/85,15-44,58,54
Papua New Guinea,2006,15-49,36,..
Paraguay,2008,15-44,79,70
Peru,2009,15-49,73,50
Philippines,2008,15-49,51,34
Poland,1991,20-49,73,28
Portugal,2005/06,15-49,87,83
Puerto Rico,2002,18-44,84,72
Qatar,1998,15-49,43,32
Republic of Korea,2009,15-44,80,70
Republic of Moldova,2005,15-49,68,43
Réunion,1997,20-44,67,64
Romania,2004,15-44,70,38
Russian Federation,2007,< 50,80,65
Rwanda,2007/08,15-49,36,26
Saint Kitts and Nevis,1984,15-44,41,37
Saint Lucia,1988,15-44,47,46
Saint Vincent and the Grenadines,1988,15-44,58,56
Samoa,2009,15-49,29,27
Sao Tome and Principe,2008/09,15-49,38,33
Saudi Arabia,2007,15-49,24,..
Senegal,2005,15-49,12,10
Serbia,2005,15-49,41,19
Sierra Leone,2008,15-49,8,6
Singapore,1997,15-44,62,55
Slovakia,1997,15-44,80,66
Slovenia,1994/95,15-44,79,63
Solomon Islands,2006/07,15-49,35,27
Somalia,2005/06,15-49,15,1
South Africa,2003/04,15-49,60,60
Spain,2006,15-49,66,62
Sri Lanka,2006/07,15-49,68,53
Sudan,2006,15-49,8,6
Suriname,2006,15-49,46,45
Swaziland,2006/07,15-49,51,47
Sweden,1996,18-44,75,65
Switzerland,1994/95,20-49,82,78
Syrian Arab Republic,2006,15-49,58,43
Tajikistan,2007,15-49,37,32
Thailand,2006,15-49,81,80
TFYR of Macedonia,2005/06,15-49,14,10
Timor-Leste,2009/10,15-49,22,21
Togo,2006,15-49,17,11
Trinidad and Tobago,2006,15-49,43,38
Tunisia,2006,15-49,60,52
Turkey,2008,15-49,73,46
Turkmenistan,2000,15-49,62,45
Tuvalu,2007,15-49,31,22
Uganda,2006,15-49,24,18
Ukraine,2007,15-49,67,48
United Arab Emirates,1995,15-49,28,24
United Kingdom of Great Britain and Northern Ireland,2008/09,16-49,84,84
United Republic of Tanzania,2010,15-49,34,26
United States of America,2006/08,15-44,79,73
United States Virgin Islands,2002,18-44,78,73
Uruguay,2004,15-50,77,75
Uzbekistan,2006,15-49,65,59
Vanuatu,2007,15-49,38,37
Venezuela (Bolivarian Republic of),1998,15-49,70,62
Viet Nam,2008,15-49,80,69
Yemen,2006,15-49,28,19
Zambia,2007,15-49,41,27
Zimbabwe,2005/06,15-49,60,58
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
