Country or area,Year,Per Capita GDP (US$)       ,Total,Men,Women
Afghanistan,2011,586,49.2,80,16
Albania,2011,4042,60.3,71,50
Algeria,2011,5523,43.6,72,15
Andorra,2011,41517,…,…,…
Angola,2011,5318,69.8,77,63
Anguilla,2011,18408,…,…,…
Antigua and Barbuda,2011,12480,…,…,…
Argentina,2011,10994,60.7,75,47
Armenia,2011,3270,58.7,70,49
Aruba,2011,24753,…,…,…
Australia,2011,67039,65.5,72,59
Austria,2011,49686,60.5,68,54
Azerbaijan,2011,6813,64.9,69,62
Bahamas,2011,22431,74.1,79,69
Bahrain,2011,19512,70.7,87,39
Bangladesh,2011,706,70.8,84,57
Barbados,2011,15744,70.4,76,65
Belarus,2011,5768,55.9,63,50
Belgium,2011,47807,54.0,61,48
Belize,2011,4636,64.9,82,48
Benin,2011,802,72.6,78,67
Bermuda,2011,91780,…,…,…
Bhutan,2011,2336,71.5,77,66
Bolivia,2011,2374,72.4,81,64
Bosnia and Herzegovina,2011,4807,46.3,59,35
Botswana,2011,8533,76.7,82,72
Brazil,2011,12594,69.9,81,60
British Virgin Islands,2011,39015,…,…,…
Brunei Darussalam,2011,40301,66.0,77,56
Bulgaria,2011,7187,54.2,60,49
Burkina Faso,2011,595,83.8,90,78
Burundi,2011,273,82.9,82,84
Cambodia,2011,897,82.8,87,79
Cameroon,2011,1319,70.7,77,64
Canada,2011,50565,66.6,71,62
Cape Verde,2011,3773,66.8,83,51
Cayman Islands,2011,57610,…,…,…
Central African Republic,2011,489,78.7,85,73
Chad,2011,907,72.2,80,64
Chile,2011,14395,60.4,74,47
China,2011,5439,74.1,80,68
"China, Hong Kong SAR",2011,34161,59.0,68,51
"China, Macau SAR",2011,65551,71.6,77,67
Colombia,2011,7100,67.4,80,56
Comoros,2011,809,57.7,80,35
Congo,2011,3198,70.6,73,68
Cook Islands,2011,13478,…,…,…
Costa Rica,2011,8676,62.9,79,46
Côte d'Ivoire,2011,1196,66.9,81,52
Croatia,2011,14217,52.5,60,46
Cuba,2011,6106,56.6,70,43
Cyprus,2011,30523,64.5,72,57
Czech Republic,2011,20607,58.6,68,50
Democratic People's Republic of Korea,2011,506,77.5,84,72
Democratic Republic of the Congo,2011,237,71.3,73,70
Denmark,2011,59581,64.4,69,60
Djibouti,2011,1417,51.5,67,36
Dominica,2011,7322,…,…,…
Dominican Republic,2011,5512,64.8,79,51
East Timor,2011,…,56.5,74,38
Ecuador,2011,4526,68.4,83,54
Egypt,2011,2801,48.9,74,24
El Salvador,2011,3702,61.7,79,47
Equatorial Guinea,2011,22409,86.7,92,81
Eritrea,2011,482,84.7,90,80
Estonia,2011,16542,61.9,68,57
Ethiopia,2011,357,84.0,90,78
Fiji,2011,4391,59.7,80,39
Finland,2011,48887,59.9,64,56
France,2011,42642,56.3,62,51
French Guiana,2011,…,59.2,65,54
French Polynesia,2011,26290,57.5,67,48
Gabon,2011,15738,60.7,65,56
Gambia,2011,689,77.6,83,72
Georgia,2011,3319,64.3,74,56
Germany,2011,43865,59.6,67,53
Ghana,2011,1570,69.4,72,67
Greece,2011,26251,54.8,65,45
Guadeloupe,2011,…,59.1,65,54
Guam,2011,…,60.6,74,47
Greenland,2011,42575,…,…,…
Grenada,2011,7868,…,…,…
Guatemala,2011,3178,67.6,88,49
Guinea,2011,544,71.9,78,65
Guinea-Bissau,2011,591,73.0,78,68
Guyana,2011,3408,60.3,79,42
Haiti,2011,665,65.3,71,60
Honduras,2011,2250,62.3,83,42
Hungary,2011,13919,50.7,58,44
Iceland,2011,43240,74.6,78,71
India,2011,1528,55.6,81,29
Indonesia,2011,3495,67.5,84,51
"Iran, Islamic Republic of",2011,6977,44.8,73,16
Iraq,2011,3758,41.5,69,15
Ireland,2011,48836,60.5,69,53
Israel,2011,32123,57.3,62,53
Italy,2011,36124,48.4,60,38
Jamaica,2011,5360,63.7,72,56
Japan,2011,46407,60.1,72,49
Jordan,2011,4556,41.5,66,16
Kazakhstan,2011,11503,71.6,77,67
Kenya,2011,819,66.6,72,62
Kiribati,2011,1803,…,…,…
Kosovo,2011,2618,…,…,…
Kuwait,2011,57102,67.7,82,43
Kyrgyzstan,2011,1098,66.7,79,56
Lao People's Democratic Republic,2011,1303,77.9,80,77
Latvia,2011,12697,60.6,67,55
Lebanon,2011,9165,45.8,71,23
Lesotho,2011,1114,65.9,73,59
Liberia,2011,278,61.2,64,58
Libya,2011,4885,53.4,77,30
Liechtenstein,2011,170373,…,…,…
Lithuania,2011,12962,58.6,64,54
Luxembourg,2011,115377,57.1,65,49
Madagascar,2011,462,86.0,89,83
Malawi,2011,388,83.1,81,85
Malaysia,2011,9977,60.4,77,44
Maldives,2011,6405,66.3,77,56
Mali,2011,671,53.1,70,37
Malta,2011,21269,51.1,67,35
Marshall Islands,2011,3448,…,…,…
Martinique,2011,…,51.3,55,48
Mauritania,2011,1254,53.8,79,29
Mauritius,2011,8659,59.5,76,44
Melanesia,2011,3120,…,…,…
Mexico,2011,10063,61.9,81,44
Micronesia (Federated States of),2011,2855,…,…,…
