Country,Year,Under 15 years,Men 60+,Women 60+,men/100 women
Afghanistan,2012,46,4,4,98
Albania,2012,22,13,14,91
Algeria,2012,27,7,8,84
American Samoa,2012,34,7,8,91
Andorra,2011,15,18,19,101
Angola,2012,46,4,4,83
Anguilla,2001,28,10,11,88
Antigua and Barbuda,2005,28,9,10,79
Argentina,2012,24,13,17,73
Armenia,2012,20,13,17,64
Aruba,2012,18,14,17,77
Australia1,2012,19,18,21,89
Austria,2012,14,21,26,77
Azerbaijan2,2012,21,8,10,75
Bahamas,2012,22,10,12,75
Bahrain,2012,20,3,4,127
Bangladesh,2012,30,7,7,96
Barbados,2012,17,15,19,75
Belarus,2012,15,14,23,53
Belgium,2012,17,22,26,80
Belize,2012,34,6,6,91
Benin,2012,43,4,5,71
Bermuda,2010,17,17,20,74
Bhutan,2012,28,7,7,107
Bolivia (Plurinational State of),2012,35,7,8,82
Bosnia and Herzegovina,2012,14,18,22,77
Botswana,2012,32,6,7,78
Brazil,2012,24,10,12,81
British Virgin Islands,2001,26,7,7,109
Brunei Darussalam,2012,26,7,6,113
Bulgaria,2012,14,22,28,72
Burkina Faso,2012,45,3,4,68
Burundi,2012,37,4,5,69
Cambodia,2012,31,5,8,64
Cameroon,2012,40,5,6,85
Canada,2012,16,19,22,85
Cape Verde,2012,30,6,9,65
Cayman Islands,2010,18,8,9,92
Central African Republic,2012,40,5,7,80
Chad,2012,45,4,5,84
Channel Islands3,2012,15,22,26,85
Chile,2012,21,12,15,80
China4,2012,19,12,14,95
"China, Hong Kong SAR5",2012,11,19,19,90
"China, Macao SAR6",2012,13,13,11,109
Colombia,2012,28,8,10,80
Comoros,2012,43,4,5,86
Congo,2012,41,5,6,86
Cook Islands,2012,27,12,13,98
Costa Rica,2012,24,10,11,91
Côte d'Ivoire,2012,40,6,6,117
Croatia,2012,15,21,27,70
Cuba,2012,17,17,19,90
Cyprus7,2012,17,15,19,86
Czech Republic,2012,14,20,26,74
Dem. People's Republic of Korea,2012,22,11,16,63
Democratic Republic of the Congo,2012,46,4,5,81
Denmark,2012,18,22,25,86
Djibouti,2012,35,5,6,84
Dominica,2006,29,12,15,80
Dominican Republic,2012,30,9,9,96
Ecuador,2012,30,9,10,89
Egypt,2012,31,8,9,85
El Salvador,2012,31,9,11,75
Equatorial Guinea,2012,39,5,4,111
Eritrea,2012,42,3,5,64
Estonia,2012,16,18,28,55
Ethiopia,2012,40,5,6,87
Faeroe Islands,2008,22,18,21,95
Falkland Islands (Malvinas),2006,16,14,14,117
Fiji,2012,29,8,9,91
Finland8,2012,16,23,28,79
France,2012,18,21,26,78
French Guiana,2012,33,8,8,101
French Polynesia,2012,24,10,10,96
Gabon,2012,35,6,7,92
Gambia,2012,43,4,3,110
Georgia9,2012,17,17,22,66
Germany,2012,13,24,29,80
Ghana,2012,38,6,6,94
Gibraltar,2001,18,18,23,76
Greece,2012,15,22,27,81
Greenland,2011,22,11,11,117
Grenada,2012,27,8,11,75
Guadeloupe10,2012,22,17,19,77
Guam,2012,27,11,12,91
Guatemala,2012,41,6,7,87
Guinea,2012,43,5,6,86
Guinea-Bissau,2012,41,5,6,86
Guyana,2012,31,6,8,76
Haiti,2012,35,6,7,84
Honduras,2012,36,6,7,91
Hungary,2012,15,19,27,64
Iceland,2012,21,17,18,91
India,2012,30,7,9,92
Indonesia,2012,26,8,9,83
