Country or area,Year1,Girls,Boys,Year2,%
Afghanistan,2007,13,34,2010,32
Albania,2003,73,75,2010,48
Algeria,2004,69,65,2009,49
Andorra,2010,75,74,2010,48
Angola,2009,11,12,2010,41
Anguilla,2008,76,80,2010,50
Antigua and Barbuda,2010,85,85,2010,51
Argentina,2009,87,78,2009,52
Armenia,2010,88,85,2010,48
Aruba,2009,75,72,2010,50
Australia,2010,86,85,2010,47
Austria,…,…,…,2010,48
Azerbaijan,2006,78,81,2010,47
Bahamas,2010,88,82,2010,51
Bahrain,2006,97,92,2010,50
Bangladesh,2010,50,45,2010,52
Barbados,2010,88,81,2010,50
Belarus,…,…,…,2007,49
Belgium,2005,87,90,2009,48
Belize,2003,65,64,2010,52
Benin,2001,13,27,2005,35
Bermuda,2010,51,48,2010,53
Bhutan,2011,57,50,2011,50
Bolivia (Plurinational State of),2009,69,68,2009,49
Bosnia and Herzegovina,…,…,…,2010,49
Botswana,2009,65,57,2009,51
Brazil,…,…,…,2010,51
British Virgin Islands,2007,89,79,2010,50
Brunei Darussalam,2009,99,95,2010,49
Bulgaria,2010,82,84,2010,48
Burkina Faso,2011,16,19,2011,43
Burundi,2010,15,18,2010,42
Cambodia,2007,33,37,2010,46
Cameroon,…,…,…,2010,45
Canada,…,…,…,2008,48
Cape Verde,2010,71,61,2010,54
Cayman Islands,2008,78,74,2008,52
Central African Republic,2011,10,18,2011,36
Chad,2003,5,16,2010,29
Chile,2009,84,81,2009,50
China,…,…,…,2010,47
"China, Hong Kong Special Administrative Region",2010,76,75,2010,49
"China, Macao Special Administrative Region",2010,75,78,2010,49
Colombia,2010,77,72,2010,51
Comoros,…,…,…,2005,43
Congo,…,…,…,2004,46
Cook Islands,2011,84,72,2011,52
Costa Rica,…,…,…,2010,50
Côte d'Ivoire,…,…,…,2002,36
Croatia,2010,94,88,2010,50
Cuba,2011,87,87,2011,48
Cyprus,2010,96,96,2010,49
Czech Republic,…,…,…,2009,49
Democratic Republic of the Congo,…,…,…,2010,36
Denmark,2009,91,88,2009,49
Djibouti,2008,20,28,2011,44
Dominica,2007,93,84,2010,51
Dominican Republic,2010,67,58,2010,52
Ecuador,2007,59,58,2008,50
Egypt,2010,69,71,2010,48
El Salvador,2010,59,57,2010,50
Equatorial Guinea,…,…,…,2002,36
Eritrea,2010,25,32,2010,43
Estonia,2009,93,91,2009,49
Ethiopia,2001,11,17,2010,45
Fiji,2007,88,79,2009,51
Finland,2010,94,94,2010,50
France,2010,99,98,2010,49
Gabon,…,…,…,2000,46
Gambia,…,…,…,2010,49
Georgia,2008,80,84,2008,49
Germany,…,…,…,2010,47
Ghana,2011,47,51,2011,46
Gibraltar,…,…,…,2009,47
Greece,2007,90,91,2007,47
Grenada,2008,86,95,2010,50
Guatemala,2010,40,43,2010,48
Guinea,2009,22,36,2009,36
Guinea-Bissau,2000,7,12,2000,35
Guyana,2009,83,78,2010,51
Honduras,…,…,…,2010,54
Hungary,2009,91,91,2009,49
Iceland,2009,89,87,2009,50
India,…,…,…,2010,46
Indonesia,2010,67,68,2010,49
Iran (Islamic Republic of),2010,80,92,2010,45
Iraq,2007,39,49,2007,41
Ireland,2010,100,98,2010,50
Israel,2009,100,97,2009,49
Italy,2010,94,94,2010,48
Jamaica,2010,87,80,2010,50
Japan,2010,100,99,2010,49
Jordan,2010,88,83,2010,50
Kazakhstan,2011,89,90,2011,48
Kenya,2009,48,52,2009,47
Kiribati,2005,72,65,2008,51
Kuwait,2008,93,86,2010,50
Kyrgyzstan,2010,79,79,2010,49
Lao People's Democratic Republic,2010,38,42,2010,45
Latvia,2010,84,83,2010,49
Lebanon,2010,79,71,2010,52
Lesotho,2010,37,23,2010,58
Liberia,…,…,…,2000,42
Libya,…,…,…,2006,53
Liechtenstein,2010,64,64,2010,50
Lithuania,2010,91,91,2010,48
Luxembourg,2008,86,84,2008,50
Madagascar,2008,24,23,2009,49
Malawi,2010,27,28,2010,47
Malaysia,2009,71,65,2009,51
Maldives,2002,52,46,2004,52
Mali,2011,25,36,2011,41
Malta,2010,80,82,2010,46
Marshall Islands,2007,64,60,2009,50
Mauritania,2007,15,17,2010,45
Mauritius,2004,74,74,2010,49
Mexico,2010,73,70,2010,51
Micronesia (Federated States of),…,…,…,2005,49
Monaco,…,…,…,2010,49
Mongolia,2006,85,77,2010,51
Montenegro,,,,2010,49
Montserrat,2007,96,95,2009,48
Morocco,2003,32,38,2007,46
Mozambique,2011,17,18,2011,46
Myanmar,2010,52,49,2010,51
Namibia,2007,57,44,2007,54
Nauru,…,…,…,2008,51
Nepal,…,…,…,2008,47
Netherlands,2010,88,87,2010,48
Netherlands Antilles,2002,84,76,2002,52
New Zealand,2010,95,94,2010,50
Nicaragua,2010,49,43,2010,52
Niger,2008,8,13,2010,40
Nigeria,…,…,…,2010,46
Niue,1999,96,91,2005,48
Norway,2010,94,94,2010,48
Occupied Palestinian Territory,2010,87,81,2010,51
Oman,2009,90,89,2009,42
Pakistan,2010,29,38,2010,50
Palau,…,…,…,2004,51
Panama,2010,72,66,2010,40
Papua New Guinea,…,…,…,1998,50
Paraguay,2009,62,58,2009,49
Peru,2010,78,77,2010,51
Philippines,2009,67,56,2009,49
Poland,2009,92,90,2009,50
Portugal,2006,86,78,2009,50
Puerto Rico,…,…,…,2010,49
Qatar,2010,93,76,2010,47
Republic of Korea,2010,95,96,2010,50
Republic of Moldova,2010,79,78,2010,48
Romania,2009,83,82,2010,48
Russian Federation,…,…,…,2009,52
Rwanda,…,…,…,2011,49
Saint Kitts and Nevis,2010,88,89,2010,49
Saint Lucia,2010,85,85,2010,50
Saint Vincent and the Grenadines,2008,96,85,2010,51
Samoa,2010,83,73,2010,48
San Marino,…,…,…,2010,53
Sao Tome and Principe,2011,52,44,2011,48
Saudi Arabia,2010,83,78,2010,46
Senegal,2006,19,24,2010,49
Serbia,2010,91,89,2010,49
Seychelles,2004,100,92,2010,42
Sierra Leone,…,…,…,2001,48
Singapore,…,…,…,2009,49
Slovakia,…,…,…,2010,49
Slovenia,2009,92,91,2009,44
Solomon Islands,2007,29,32,2007,31
Somalia,…,…,…,2007,51
South Africa,2000,65,59,2009,49
Spain,2010,96,94,2010,49
Sri Lanka,…,…,…,2004,46
Sudan (pre-secession),…,…,…,2009,54
Suriname,2009,55,46,2009,50
Swaziland,2010,37,29,2010,48
Sweden,2010,94,94,2010,48
Switzerland,2010,82,84,2010,49
Syrian Arab Republic,2010,67,67,2010,46
Tajikistan,2010,80,90,2010,51
Thailand,2011,78,70,2011,48
The former Yugoslav Republic of Macedonia,2005,81,82,2010,49
Timor-Leste,2010,39,34,2010,35
Togo,2000,16,33,2007,48
Tokelau,…,…,…,2003,48
Tonga,2004,80,67,2006,51
Trinidad and Tobago,2004,70,66,2008,50
Tunisia,2001,66,64,2009,47
Turkey,2009,71,77,2009,52
Turks and Caicos Islands,2005,69,72,2009,46
Tuvalu,…,…,…,2001,46
Uganda,2004,15,17,2010,48
Ukraine,2010,86,86,2010,50
United Arab Emirates,2006,82,80,2010,49
United Kingdom of Great Britain and Northern Ireland,2009,97,95,2009,49
United States of America,2010,90,89,2010,52
Uruguay,2008,73,66,2008,49
Uzbekistan,2009,91,93,2011,49
Vanuatu,2010,49,46,2010,51
Venezuela (Bolivarian Republic of),2010,76,68,2010,51
Viet Nam,…,…,…,2010,37
Yemen,2010,31,49,2010,
