Country,Water Total,Water Urban,Water Rural,Sanitation Total,Sanitation Urban,Sanitation Rural
Afghanistan,50,78,42,37,60,30
Albania,95,96,94,94,95,93
Algeria,83,85,79,95,98,88
Andorra,100,100,100,100,100,100
Angola,51,60,38,58,85,19
Anguilla,60,60,…,94,94,…
Antigua and Barbuda,91,95,89,95,98,94
Argentina,97,98,80,90,91,77
Armenia,98,99,97,90,95,80
Aruba,100,100,100,…,…,…
Australia,100,100,100,100,100,100
Austria,100,100,100,100,100,100
Azerbaijan,80,88,71,82,86,78
Bahamas,96,98,86,100,100,100
Bahrain,…,100,…,…,100,…
Bangladesh,81,85,80,56,57,55
Barbados,100,100,100,100,100,100
Belarus,100,100,99,93,91,97
Belgium,100,100,100,100,100,100
Belize,98,98,99,90,93,87
Benin,75,84,68,13,25,5
Bhutan,96,100,94,44,73,29
Bolivia,88,96,71,27,35,10
Bosnia and Herzegovina,99,100,98,95,99,92
Botswana,96,99,92,62,75,41
Brazil,98,100,85,79,85,44
British Virgin Islands,98,98,98,100,100,100
Bulgaria,100,100,100,100,100,100
Burkina Faso,79,95,73,17,50,6
Burundi,72,83,71,46,49,46
Cambodia,64,87,58,31,73,20
Cameroon,77,95,52,49,58,36
Canada,100,100,99,100,100,99
Cape Verde,88,90,85,61,73,43
Cayman Islands,96,96,…,96,96,…
Central African Republic,67,92,51,34,43,28
Chad,51,70,44,13,30,6
Chile,96,99,75,96,98,83
China,91,98,85,64,74,56
Colombia,92,99,72,77,82,63
Comoros,95,91,97,36,50,30
Congo,71,95,32,18,20,15
Cook Islands,95,98,88,100,100,100
Costa Rica,97,100,91,95,95,96
Cote d'Ivoire,80,91,68,24,36,11
Croatia,99,100,97,99,99,98
Cuba,94,96,89,91,94,81
Cyprus,100,100,100,100,100,100
Czech Republic,100,100,100,98,99,97
Democratic People's Republic of Korea,98,99,97,80,86,71
Democratic Republic of the Congo,45,79,27,24,24,24
Denmark,100,100,100,100,100,100
Djibouti,88,99,54,50,63,10
Dominica,95,96,92,81,80,84
Dominican Republic,86,87,84,83,87,75
Ecuador,94,96,89,92,96,84
Egypt,99,100,99,95,97,93
El Salvador,88,94,76,87,89,83
Equatorial Guinea,51,66,42,89,92,87
Eritrea,61,74,57,14,52,4
Estonia,98,99,97,95,96,94
Ethiopia,44,97,34,21,29,19
Fiji,98,100,95,83,94,71
Finland,100,100,100,100,100,100
France,100,100,100,100,100,100
French Guiana,84,88,71,78,85,57
French Polynesia,100,100,100,98,99,97
Gabon,87,95,41,33,33,30
Gambia,89,92,85,68,70,65
Georgia,98,100,96,95,96,93
Germany,100,100,100,100,100,100
Ghana,86,91,80,14,19,8
Greece,100,100,99,98,99,97
Greenland,100,100,100,100,100,100
Grenada,94,97,93,97,96,97
Guadeloupe,98,98,93,,95,
Guam,100,100,100,99,99,98
