Country,popSizeTotal,expl,perCap,unempMen,unempWomen,anyMethod,modernMethods,fertRateAdolescent,fertRateTotal,govCorpt,hivTotal,hivWomenShare,perCapGDP,econEngMen,econEngWomen,totalEcon,lifeExpBirthMen,lifeExpBirthWomen,lifeExp60Men,lifeExp60Women,eduTotal,eduMen,eduWomen,youthLitMen,youthLitWomen,adultLitMen,adultLitWomen,mortMatern,mortInfant,mortUnder5,popChangeUrban,popChangeRural,popGrowthRate,popGrowthWomenRate,popSizeMen,popSizeWomen,primEduBoy,primEduGirl,primEduGirlShare,prtTimeMen,prtTimeWomen,prtTimeWomenShare,secEduBoy,secEduGirl,secEduGirlShare,tertEduMen,tertEduWomen,tertEduWomenShare,waterUrban,waterRural,sanitUrban,sanitRural
AFGHANISTAN,33397000,323,9.67E-04,7.6,9.5,23,15,99.6,5.97,13,NULL,NULL,586,80,16,49.2,49,49,14,15,8,10,6,NULL,NULL,NULL,NULL,460,125,184,4.4,2.7,3.1,77,51.72919723,48.27080277,NULL,NULL,39,NULL,NULL,NULL,34,13,32,5,1,18,78,42,60,30
ALBANIA,3227000,90,2.79E-03,12.2,15.9,69,10,14.9,1.53,37.5,NULL,NULL,4042,71,50,60.3,74,80,19,24,11,11,11,99,99,97,95,27,17,19,2.3,-2,0.3,113,50.01549427,49.98450573,80,80,48,46.1,50.2,39.7,75,73,48,14,22,62,96,94,95,93
ARGENTINA,41119000,18,4.38E-05,6.2,8.5,65,64,54.2,2.17,34,0.000267516,33,10994,75,47,60.7,72,80,19,24,16,15,17,99,99,98,98,77,12,14,1,-1.1,0.9,115,48.91899122,51.08100878,100,99,49,11.9,31.3,64.8,78,87,52,57,86,60,98,80,91,77
AUSTRIA,8429000,24,2.85E-04,4,4.3,51,47,9.7,1.35,75.5,0.000177957,31,49686,68,54,60.5,78,84,22,26,15,15,16,NULL,NULL,NULL,NULL,4,4,5,0.5,-0.5,0.2,102,48.85514296,51.14485704,NULL,NULL,48,7,32.8,80.2,NULL,NULL,48,55,65,53,100,100,100,100
BAHRAIN,1359000,22,1.62E-03,5.6,20,62,31,14.8,2.43,47,NULL,NULL,19512,87,39,70.7,75,76,18,19,13,13,14,100,100,93,90,20,7,9,2.2,1.5,2.1,49,62.5459897,37.52759382,98,98,49,2.2,2.8,25.1,92,97,50,16,28,46,100,NULL,100,NULL
BANGLADESH,152409000,11,7.22E-06,4.2,7.4,56,48,68.2,2.16,25.5,4.068E-06,31,706,84,57,70.8,69,70,18,18,NULL,NULL,NULL,75,78,61,52,240,42,51,3,0.6,1.3,16,50.58428308,49.41571692,NULL,NULL,51,NULL,NULL,NULL,45,50,52,13,8,37,85,80,57,55
BELARUS,9527000,1906,2.00E-02,NULL,NULL,73,56,20.5,1.48,36,0.000167944,52,5768,63,50,55.9,65,76,14,21,15,14,15,100,100,100,99,4,6,9,0.2,-2,-0.3,118,46.46793324,53.53206676,NULL,NULL,49,NULL,NULL,NULL,NULL,NULL,49,69,98,58,100,99,91,97
BOLIVIA,10426154,18,1.73E-04,2.6,4.4,NULL,NULL,NULL,NULL,33.5,NULL,NULL,2374,81,64,72.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.3,30.7,58.9,NULL,NULL,NULL,NULL,NULL,NULL,96,71,35,10
BOSNIA AND HERZEGOVINA,3744000,127,3.39E-03,26,29.9,36,11,13.4,1.13,38.5,NULL,NULL,4807,59,35,46.3,73,78,18,22,13,13,14,100,100,99,96,8,13,16,0.9,-1.3,-0.2,101,48.05021368,51.94978632,86,88,49,9.6,11.6,NULL,NULL,NULL,49,32,42,56,100,98,99,92
BULGARIA,7398000,698,9.43E-03,12.3,10,63,40,36.2,1.55,41,5.13652E-05,29,7187,60,49,54.2,70,77,17,21,14,14,14,98,98,99,98,11,9,11,0.1,-2.8,-0.7,138,48.28331982,51.71668018,98,98,48,2.1,2.6,52.5,84,82,48,49,65,56,100,100,100,100
