Country,COC,COE,unempMen,unempWomen,anyMethod,modernMethods,fertRateAdolescent,fertRateTotal,govCorpt,hivTotal,hivWomenShare,perCapGDP,econEngMen,econEngWomen,totalEcon,lifeExpBirthMen,lifeExpBirthWomen,lifeExp60Men,lifeExp60Women,eduTotal,eduMen,eduWomen,youthLitMen,youthLitWomen,adultLitMen,adultLitWomen,mortMatern,mortInfant,mortUnder5,popChangeUrban,popChangeRural,popGrowthRate,popGrowthWomenRate,popSizeTotal,popSizeMen,popSizeWomen,primEduBoy,primEduGirl,primEduGirlShare,prtTimeMen,prtTimeWomen,prtTimeWomenShare,secEduBoy,secEduGirl,secEduGirlShare,tertEduMen,tertEduWomen,tertEduWomenShare,waterUrban,waterRural,sanitUrban,sanitRural
AFGHANISTAN,239,84,7.6,9.5,23,15,99.6,5.97,13,NULL,NULL,586,80,16,49.2,49,49,14,15,8,10,6,NULL,NULL,NULL,NULL,460,125,184,4.4,2.7,3.1,77,  33 397,  17 276,  16 121,…,…,39,NULL,NULL,NULL,34,13,32,5,1,18,78,42,60,30
ALBANIA,45,45,12.2,15.9,69,10,14.9,1.53,37.5,NULL,NULL,4042,71,50,60.3,74,80,19,24,11,11,11,99,99,97,95,27,17,19,2.3,-2,0.3,113,  3 227,  1 614,  1 613,80,80,48,46.1,50.2,39.7,75,73,48,14,22,62,96,94,95,93
ARGENTINA,NULL,18,6.2,8.5,65,64,54.2,2.17,34,110,33,10994,75,47,60.7,72,80,19,24,16,15,17,99,99,98,98,77,12,14,1,-1.1,0.9,115,  41 119,  20 115,  21 004,100,99,49,11.9,31.3,64.8,78,87,52,57,86,60,98,80,91,77
AUSTRIA,NULL,24,4,4.3,51,47,9.7,1.35,75.5,15,31,49686,68,54,60.5,78,84,22,26,15,15,16,NULL,NULL,NULL,NULL,4,4,5,0.5,-0.5,0.2,102,  8 429,  4 118,  4 311,…,…,48,7,32.8,80.2,…,…,48,55,65,53,100,100,100,100
BAHRAIN,NULL,22,5.6,20,62,31,14.8,2.43,47,NULL,NULL,19512,87,39,70.7,75,76,18,19,13,13,14,100,100,93,90,20,7,9,2.2,1.5,2.1,49,  1 359,850,510,98,98,49,2.2,2.8,25.1,92,97,50,16,28,46,100,…,100,…
BANGLADESH,11,NULL,4.2,7.4,56,48,68.2,2.16,25.5,6.2,31,706,84,57,70.8,69,70,18,18,NULL,NULL,NULL,75,78,61,52,240,42,51,3,0.6,1.3,16,  152 409,  77 095,  75 314,…,…,51,NULL,NULL,NULL,45,50,52,13,8,37,85,80,57,55
BELARUS,1513,393,NULL,NULL,73,56,20.5,1.48,36,16,52,5768,63,50,55.9,65,76,14,21,15,14,15,100,100,100,99,4,6,9,0.2,-2,-0.3,118,  9 527,  4 427,  5 100,…,…,49,NULL,NULL,NULL,…,…,49,69,98,58,100,99,91,97
BOLIVIA,18,NULL,2.6,4.4,NULL,NULL,NULL,NULL,33.5,NULL,NULL,2374,81,64,72.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.3,30.7,58.9,NULL,NULL,NULL,NULL,NULL,NULL,96,71,35,10
BOSNIA AND HERZEGOVINA,NULL,127,26,29.9,36,11,13.4,1.13,38.5,NULL,NULL,4807,59,35,46.3,73,78,18,22,13,13,14,100,100,99,96,8,13,16,0.9,-1.3,-0.2,101,  3 744,  1 799,  1 945,86,88,49,9.6,11.6,…,…,…,49,32,42,56,100,98,99,92
BULGARIA,342,356,12.3,10,63,40,36.2,1.55,41,3.8,29,7187,60,49,54.2,70,77,17,21,14,14,14,98,98,99,98,11,9,11,0.1,-2.8,-0.7,138,  7 398,  3 572,  3 826,98,98,48,2.1,2.6,52.5,84,82,48,49,65,56,100,100,100,100
BURKINA FASO,33,NULL,NULL,NULL,17,13,117.4,5.75,40,93,60,595,90,78,83.8,55,57,15,15,7,7,6,47,33,37,22,300,71,147,6,1.8,3,103,  17 482,  8 686,  8 796,65,61,47,NULL,NULL,NULL,19,16,43,5,3,33,95,73,50,6
CAMBODIA,1057,56,0.3,0.1,40,27,32.9,2.42,21,56,63,897,87,79,82.8,62,65,16,17,11,11,10,88,86,83,66,250,53,69,2.1,1,1.2,107,  14 478,  7 092,  7 386,96,95,48,NULL,NULL,NULL,37,33,46,10,5,34,87,58,73,20
CHINA,94,52,NULL,NULL,85,84,NULL,NULL,38.5,730,32,5439,80,68,74.1,NULL,NULL,NULL,NULL,12,11,12,99,99,97,91,NULL,NULL,NULL,NULL,NULL,0.4,100,NULL,NULL,NULL,…,…,46,NULL,NULL,NULL,…,…,47,25,27,50,98,85,74,56
COLOMBIA,124,NULL,9.1,15,78,68,68.1,2.29,37,150,33,7100,80,56,67.4,70,78,20,22,14,13,14,98,99,93,93,92,17,23,1.6,0.2,1.3,92,  47 551,  23 382,  24 169,89,88,49,12.7,28,60,72,77,51,37,41,52,99,72,82,63
CYPRUS,NULL,12,7.8,7.7,NULL,NULL,NULL,NULL,58,NULL,NULL,30523,72,57,64.5,NULL,NULL,NULL,NULL,15,15,15,100,100,99,97,NULL,NULL,NULL,NULL,NULL,1.1,133,NULL,NULL,NULL,99,99,49,7,12.8,60.6,96,96,49,59,51,46,100,100,100,100
CZECH REPUBLIC,NULL,54,5.8,7.9,72,63,9.2,1.5,55.5,2,…,20607,68,50,58.6,75,81,19,23,15,15,16,NULL,NULL,NULL,NULL,5,3,4,0.2,0.3,0.3,114,  10 566,  5 189,  5 377,96,96,49,1.9,6.6,72.9,…,…,49,51,71,56,100,100,99,97
DENMARK,NULL,17,7.7,7.5,78,72,5.1,1.89,90.5,5.3,26,59581,69,60,64.4,77,81,21,24,17,16,17,NULL,NULL,NULL,NULL,12,4,5,0.5,-0.7,0.3,104,  5 593,  2 775,  2 818,95,97,49,13.8,25.2,62.1,88,91,49,61,88,58,100,100,100,100
ECUADOR,NULL,13,NULL,NULL,73,59,80.6,2.39,31.5,36,31,4526,83,54,68.4,73,79,21,24,14,13,14,98,99,93,90,110,19,23,2.1,-0.5,1.3,94,  14 865,  7 441,  7 424,96,98,49,13.8,24.4,52.8,58,59,50,37,43,53,96,89,96,84
EGYPT,NULL,13,4.9,22.6,60,58,40.6,2.64,35,10,24,2801,74,24,48.9,72,76,17,20,12,12,12,91,84,80,64,66,22,25,2,1.4,1.7,87,  83 958,  42 156,  41 803,98,94,48,NULL,NULL,NULL,71,69,48,34,31,47,100,99,97,93
ERITREA,13,NULL,NULL,NULL,8,5,53.7,4.24,18,22,59,482,90,80,84.7,60,64,13,17,5,5,4,92,87,79,58,240,48,62,5,2.3,2.9,85,  5 581,  2 752,  2 829,36,31,45,NULL,NULL,NULL,32,25,43,3,1,25,74,57,52,4
GHANA,545,545,3.5,3.6,24,17,62.4,3.99,45,240,58,1570,72,67,69.4,64,66,18,19,11,12,11,82,80,73,61,350,44,63,3.5,0.9,2.3,72,  25 546,  12 997,  12 549,84,84,49,NULL,NULL,NULL,51,47,46,15,9,37,91,80,19,8
GUINEA,15,NULL,4.6,1.7,9,4,133.7,5.03,26,70,59,544,78,65,71.9,53,56,16,17,9,10,7,70,57,52,30,610,84,134,3.9,1.7,2.5,113,  10 481,  5 297,  5 184,83,70,45,NULL,NULL,NULL,36,22,36,14,5,24,90,65,32,11
GUINEA-BISSAU,145,NULL,NULL,NULL,10,6,96.2,4.88,16.5,20,60,591,78,68,73,47,50,15,16,10,7,5,79,65,68,41,790,110,181,3.6,0.9,2.1,100,  1 580,783,797,75,72,48,NULL,NULL,NULL,12,7,35,1,-,16,91,53,44,9
HAITI,339,339,6.2,8.3,32,24,41.3,3.16,18.5,110,61,665,71,60,65.3,61,64,16,17,NULL,NULL,NULL,74,70,53,45,350,58,76,3.7,-1.7,1.3,76,  10 256,  5 087,  5 168,…,…,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,51,24,10
INDONESIA,1947,1776,NULL,NULL,61,57,42.3,2.06,36.5,300,29,3495,84,51,67.5,68,72,17,19,13,13,13,100,99,96,90,220,25,31,2.4,-0.6,1,80,  244 769,  122 013,  122 756,95,97,50,16.7,31,44.3,68,67,49,24,22,47,92,74,73,39
ITALY,NULL,28,7.6,9.6,63,41,4,1.48,45.5,140,34,36124,60,38,48.4,79,85,22,26,16,16,17,100,100,99,99,4,3,4,0.5,-0.3,0.2,113,  60 964,  29 876,  31 088,98,97,48,6.6,31.3,76.6,94,94,48,55,77,58,100,100,…,…
